数字,答え,問題,選択肢1,選択肢2,選択肢3,選択肢4
1,ROMANCE DAWN-冒険の夜明け-,1話はどれ？,万物の霊長,ROMANCE DAWN-冒険の夜明け-,ルフィが死んだ,M・H・5
2,その男麦わらのルフィ,2話はどれ？,その男麦わらのルフィ,M・H・5,やなこった,友達
3,海賊狩りのゾロ登場,3話はどれ？,男ウソップ大冒険,噛み殺した槍,海賊狩りのゾロ登場,下へまいります
4,海軍大佐斧手のモーガン,4話はどれ？,海軍大佐斧手のモーガン,海賊王と大剣豪,海図と魚人,soup
5,海賊王と大剣豪,5話はどれ？,サバガシラ1号,海賊王と大剣豪,キャプテン・クロの一計,サンジ登場
6,1人目,6話はどれ？,夢在るがゆえ,1人目,ねる,噛み殺した槍
7,友達,1話はどれ？,4人目,友達,キャプテン・ウソップ登場,VERSUS!!バギー海賊団
8,ナミ登場,1話はどれ？,ナミ登場,伝説は始まった,生きる,執事クラハドール
9,魔性の女,1話はどれ？,誰が為に鐘が鳴る,魔性の女,海賊道化のバギー,GONG
10,酒場の一件,1話はどれ？,やなこった,酒場の一件,鬼,三人のコック
11,敗走,1話はどれ？,坂道,格,夢在るがゆえ,死んで
12,犬,1話はどれ？,己々が路,夢在るがゆえ,分相応,生きる
13,宝物,1話はどれ？,ネオ坂道,クソジジイ,クソジジイ,三刀流対六刀流
14,無謀っ!!,1話はどれ？,招かれざる客,涙,悪魔の実,GONG
15,GONG,1話はどれ？,海軍大佐斧手のモーガン,その航路、やめときな,夢の一歩,音無き男
16,VERSUS!!バギー海賊団,1話はどれ？,ケジメ,恩,サバガシラ1号,己々が路
17,格,1話はどれ？,三刀流対六刀流,海賊団,海へ,キャプテン・クロの一計
18,海賊道化のバギー,1話はどれ？,2人目,敗走,ROMANCE DAWN-冒険の夜明け-,ロロノア・ゾロ海に散る
19,悪魔の実,1話はどれ？,M・H・5,生きる,ヨサクとジョニー,魔性の女
20,泥棒道,1話はどれ？,涙,鬼,格,ねる
21,町,1話はどれ？,暗雲,キャプテン・ウソップ登場,2人目,GREAT!!!
22,あんたが珍獣,1話はどれ？,格,下へまいります,ベルメールさん,格
23,キャプテン・ウソップ登場,1話はどれ？,大戦槍,夢の一歩,M・H・5,クソジジイ
24,偽れぬもの,1話はどれ？,交代,2人目,海賊狩りのゾロ登場,誓い
25,ウソ800,1話はどれ？,悪魔の実,ナミ登場,三人のコック,海賊道化のバギー
26,キャプテン・クロの一計,1話はどれ？,敗走,宝物,東一番の悪,嵐
27,筋,1話はどれ？,海軍大佐斧手のモーガン,執事クラハドール,ケジメ,百計のクロ
28,三日月,1話はどれ？,覚悟,海賊狩りのゾロ登場,死んで,大戦槍
29,坂道,1話はどれ？,三人のコック,GREAT!!!,坂道,サバガシラ1号
30,GREAT!!!,1話はどれ？,ウソ800,魔性の女,終わったんだ!!,罪は罪
31,真実,1話はどれ？,海賊王と大剣豪,無謀っ!!,無謀っ!!,ルフィ IN BLACK
32,大凶,1話はどれ？,偽れぬもの,soup,大戦槍,その航路、やめときな
33,音無き男,1話はどれ？,百計のクロ,1人目,嵐,ネオ坂道
34,執事クラハドール,1話はどれ？,無謀っ!!,ルフィが死んだ,ロロノア・ゾロ海に散る,死なねェよ
35,ネオ坂道,1話はどれ？,分相応,ケジメ,その男麦わらのルフィ,筋
36,追え!!,1話はどれ？,ベルメールさん,ゾンビ,その航路、やめときな,ゾンビ
37,百計のクロ,1話はどれ？,町,町,伝説は始まった,ヨサクとジョニー
38,海賊団,1話はどれ？,ヨサクとジョニー,死なねェよ,JUNGLE BLOOD,海賊王と大剣豪
39,誰が為に鐘が鳴る,1話はどれ？,三代鬼徹,坂道,招かれざる客,海図と魚人
40,ウソップ海賊団,1話はどれ？,海図と魚人,海軍大佐斧手のモーガン,真実,海賊艦隊提督首領・クリーク
41,海へ,1話はどれ？,三日月,海賊艦隊提督首領・クリーク,"OK,Let's STAND UP!",坂道
42,ヨサクとジョニー,1話はどれ？,罪は罪,サンジ登場,まわれ風車,犬
43,サンジ登場,1話はどれ？,パールさん,海賊道化のバギー,4人目,分相応
44,三人のコック,1話はどれ？,騎士道VS魚人空手,三人のコック,誰が為に鐘が鳴る,アーロンパーク
45,嵐前,1話はどれ？,死なねェよ,偽れぬもの,DARTS,三代鬼徹
46,招かれざる客,1話はどれ？,偉大なる航路から来た怪物,罪は罪,町,無謀っ!!
47,海賊艦隊提督首領・クリーク,1話はどれ？,その男麦わらのルフィ,招かれざる客,あんたが珍獣,ベルメールさん
48,その航路、やめときな,1話はどれ？,伝説は始まった,ウソップ海賊団,泥棒道,幸せ
49,嵐,1話はどれ？,JUNGLE BLOOD,大凶,仕事,偽れぬもの
50,己々が路,1話はどれ？,筋,百計のクロ,追え!!,あんたが珍獣
51,ロロノア・ゾロ海に散る,1話はどれ？,犬,幸せ,交代,キャプテン・ウソップ登場
52,誓い,1話はどれ？,何ができる,己々が路,酒場の一件,悪魔の実
53,サバガシラ1号,1話はどれ？,下へまいります,追え!!,下へまいります,何ができる
54,パールさん,1話はどれ？,嵐,ロロノア・ゾロ海に散る,三代鬼徹,仕事
55,JUNGLE BLOOD,1話はどれ？,嵐前,音無き男,万物の霊長,東一番の悪
56,やなこった,1話はどれ？,アーロンパーク,4人目,暗雲,1人目
57,夢在るがゆえ,1話はどれ？,音無き男,三代鬼徹,ウソップ海賊団,海賊団
58,クソジジイ,1話はどれ？,海賊道化のバギー,真実,筋,ROMANCE DAWN-冒険の夜明け-
59,恩,1話はどれ？,死んで,キャプテン・クロの一計,魔性の女,まわれ風車
60,ケジメ,1話はどれ？,VERSUS!!バギー海賊団,パールさん,騎士道VS魚人空手,覚悟
61,鬼,1話はどれ？,GREAT!!!,交代,ネオ坂道,男ウソップ大冒険
62,M・H・5,1話はどれ？,鬼,男ウソップ大冒険,音無き男,泥棒道
63,死なねェよ,1話はどれ？,DARTS,JUNGLE BLOOD,偉大なる航路から来た怪物,宝物
64,大戦槍,1話はどれ？,生きる,友達,海賊団,夢の一歩
65,覚悟,1話はどれ？,友達,分相応,海賊艦隊提督首領・クリーク,ケジメ
66,噛み殺した槍,1話はどれ？,"OK,Let's STAND UP!",誓い,海軍大佐斧手のモーガン,4人目
67,soup,1話はどれ？,ナミ登場,終わったんだ!!,噛み殺した槍,ルフィが死んだ
68,4人目,1話はどれ？,海へ,暗雲,サンジ登場,涙
69,アーロンパーク,1話はどれ？,追え!!,あんたが珍獣,嵐前,真実
70,男ウソップ大冒険,1話はどれ？,幸せ,三刀流対六刀流,友達,鬼
71,万物の霊長,1話はどれ？,サンジ登場,偉大なる航路から来た怪物,百計のクロ,海軍大佐斧手のモーガン
72,分相応,1話はどれ？,soup,GONG,VERSUS!!バギー海賊団,夢在るがゆえ
73,偉大なる航路から来た怪物,1話はどれ？,魔性の女,騎士道VS魚人空手,死なねェよ,偉大なる航路から来た怪物
74,仕事,1話はどれ？,海賊艦隊提督首領・クリーク,サバガシラ1号,GONG,嵐前
75,海図と魚人,1話はどれ？,恩,誰が為に鐘が鳴る,執事クラハドール,暗雲
76,ねる,1話はどれ？,クソジジイ,ベルメールさん,海賊王と大剣豪,やなこった
77,夢の一歩,1話はどれ？,キャプテン・クロの一計,筋,ゾンビ,騎士道VS魚人空手
78,ベルメールさん,1話はどれ？,泥棒道,VERSUS!!バギー海賊団,パールさん,町
79,生きる,1話はどれ？,東一番の悪,犬,犬,ナミ登場
80,罪は罪,1話はどれ？,ウソップ海賊団,ヨサクとジョニー,ウソ800,ウソップ海賊団
81,涙,1話はどれ？,大凶,ウソ800,幸せ,交代
