問題,答え,選択肢1,選択肢2,選択肢3,選択肢4
1話はどれ？,ROMANCE DAWN-冒険の夜明け-,万物の霊長,ROMANCE DAWN-冒険の夜明け-,ルフィが死んだ,M・H・5
2話はどれ？,その男麦わらのルフィ,その男麦わらのルフィ,M・H・5,やなこった,友達
3話はどれ？,海賊狩りのゾロ登場,男ウソップ大冒険,噛み殺した槍,海賊狩りのゾロ登場,下へまいります
4話はどれ？,海軍大佐斧手のモーガン,海軍大佐斧手のモーガン,海賊王と大剣豪,海図と魚人,soup
5話はどれ？,海賊王と大剣豪,サバガシラ1号,海賊王と大剣豪,キャプテン・クロの一計,サンジ登場
6話はどれ？,1人目,夢在るがゆえ,1人目,ねる,噛み殺した槍
7話はどれ？,友達,4人目,友達,キャプテン・ウソップ登場,VERSUS!!バギー海賊団
8話はどれ？,ナミ登場,ナミ登場,伝説は始まった,生きる,執事クラハドール
9話はどれ？,魔性の女,誰が為に鐘が鳴る,魔性の女,海賊道化のバギー,GONG
10話はどれ？,酒場の一件,やなこった,酒場の一件,鬼,三人のコック
11話はどれ？,敗走,坂道,格,敗走,死んで
12話はどれ？,犬,己々が路,夢在るがゆえ,分相応,生きる
13話はどれ？,宝物,ネオ坂道,宝物,クソジジイ,三刀流対六刀流
14話はどれ？,無謀っ!!,招かれざる客,無謀っ!!,悪魔の実,GONG
15話はどれ？,GONG,海軍大佐斧手のモーガン,その航路、やめときな,GONG,音無き男
16話はどれ？,VERSUS!!バギー海賊団,ケジメ,恩,VERSUS!!バギー海賊団,己々が路
17話はどれ？,格,格,海賊団,海へ,キャプテン・クロの一計
18話はどれ？,海賊道化のバギー,2人目,敗走,海賊道化のバギー,ロロノア・ゾロ海に散る
19話はどれ？,悪魔の実,悪魔の実,生きる,ヨサクとジョニー,魔性の女
20話はどれ？,泥棒道,涙,鬼,格,泥棒道
21話はどれ？,町,暗雲,キャプテン・ウソップ登場,町,GREAT!!!
22話はどれ？,あんたが珍獣,格,下へまいります,ベルメールさん,あんたが珍獣
23話はどれ？,キャプテン・ウソップ登場,大戦槍,夢の一歩,M・H・5,キャプテン・ウソップ登場
24話はどれ？,偽れぬもの,交代,2人目,偽れぬもの,誓い
25話はどれ？,ウソ800,悪魔の実,ウソ800,三人のコック,海賊道化のバギー
26話はどれ？,キャプテン・クロの一計,敗走,宝物,キャプテン・クロの一計,嵐
27話はどれ？,筋,筋,執事クラハドール,ケジメ,百計のクロ
28話はどれ？,三日月,覚悟,三日月,死んで,大戦槍
29話はどれ？,坂道,坂道,GREAT!!!,坂道,サバガシラ1号
30話はどれ？,GREAT!!!,ウソ800,GREAT!!!,終わったんだ!!,罪は罪
31話はどれ？,真実,海賊王と大剣豪,真実,無謀っ!!,ルフィ IN BLACK
32話はどれ？,大凶,偽れぬもの,soup,大戦槍,大凶
33話はどれ？,音無き男,百計のクロ,音無き男,嵐,ネオ坂道
34話はどれ？,執事クラハドール,無謀っ!!,執事クラハドール,ロロノア・ゾロ海に散る,死なねェよ
35話はどれ？,ネオ坂道,分相応,ケジメ,その男麦わらのルフィ,ネオ坂道
36話はどれ？,追え!!,ベルメールさん,ゾンビ,その航路、やめときな,追え!!
37話はどれ？,百計のクロ,百計のクロ,町,伝説は始まった,ヨサクとジョニー
38話はどれ？,海賊団,ヨサクとジョニー,死なねェよ,海賊団,海賊王と大剣豪
39話はどれ？,誰が為に鐘が鳴る,誰が為に鐘が鳴る,坂道,招かれざる客,海図と魚人
40話はどれ？,ウソップ海賊団,海図と魚人,ウソップ海賊団,真実,海賊艦隊提督首領・クリーク
41話はどれ？,海へ,三日月,海賊艦隊提督首領・クリーク,海へ,坂道
42話はどれ？,ヨサクとジョニー,罪は罪,サンジ登場,ヨサクとジョニー,犬
43話はどれ？,サンジ登場,サンジ登場,海賊道化のバギー,4人目,分相応
44話はどれ？,三人のコック,騎士道VS魚人空手,三人のコック,誰が為に鐘が鳴る,アーロンパーク
45話はどれ？,嵐前,死なねェよ,偽れぬもの,DARTS,嵐前
46話はどれ？,招かれざる客,偉大なる航路から来た怪物,罪は罪,招かれざる客,無謀っ!!
47話はどれ？,海賊艦隊提督首領・クリーク,その男麦わらのルフィ,海賊艦隊提督首領・クリーク,あんたが珍獣,ベルメールさん
48話はどれ？,その航路、やめときな,伝説は始まった,その航路、やめときな,泥棒道,幸せ
49話はどれ？,嵐,嵐,大凶,仕事,偽れぬもの
50話はどれ？,己々が路,筋,己々が路,追え!!,あんたが珍獣
